eigenvalue	proportion	cumulative
 19.5231 	  0.24404	  0.24404	0.196NR1_N+0.196BDNF_N+0.195MEK_N+0.193TRKA_N+0.193pNR2B_N...
 13.69415	  0.17118	  0.41522	0.211SNCA_N+0.203P38_N+0.202Behavior=S/C-0.202CaNA_N-0.191ITSN1_N...
  8.06776	  0.10085	  0.51606	0.24 PSD95_N+0.232pCASP9_N+0.228P70S6_N+0.227nNOS_N+0.204ARC_N...
  6.01272	  0.07516	  0.59122	-0.258pPKCG_N-0.237S6_N-0.229P3525_N-0.221H3AcK18_N-0.217pGSK3B_N...
  4.06148	  0.05077	  0.64199	0.329GFAP_N-0.235pPKCG_N-0.226pRSK_N-0.222pP70S6_N+0.22 BCL2_N...
  3.62447	  0.04531	  0.6873 	0.299AcetylH3K9_N+0.225pP70S6_N+0.222TIAM1_N-0.21BRAF_N+0.205Tau_N...
  2.93454	  0.03668	  0.72398	-0.35Tau_N-0.265AcetylH3K9_N+0.259pPKCAB_N+0.232PKCA_N-0.223SOD1_N...
  2.38277	  0.02978	  0.75376	-0.267pP70S6_N-0.265DYRK1A_N-0.264pGSK3B_Tyr216_N-0.246BRAF_N-0.236ITSN1_N...
  1.8303 	  0.02288	  0.77664	0.343SHH_N-0.302GluR4_N+0.289P3525_N-0.256GluR3_N+0.241Treatment=Saline...
  1.636  	  0.02045	  0.79709	-0.386Genotype=Ts65Dn+0.383Treatment=Saline-0.273APP_N+0.245SOD1_N-0.209pNUMB_N...
  1.36151	  0.01702	  0.81411	0.408Genotype=Ts65Dn+0.345APP_N-0.267AcetylH3K9_N+0.256Treatment=Saline+0.218GluR4_N...
  1.15111	  0.01439	  0.8285 	-0.339BAX_N-0.299Treatment=Saline+0.294GluR3_N-0.275Ubiquitin_N-0.226RRP1_N...
  1.00119	  0.01251	  0.84101	0.294pRSK_N-0.275BCL2_N+0.249pCASP9_N-0.243Genotype=Ts65Dn-0.232PSD95_N...
  0.83285	  0.01041	  0.85142	0.309BAD_N-0.297pCREB_N+0.282EGR1_N+0.257AKT_N-0.232CREB_N...
  0.82703	  0.01034	  0.86176	0.306BAX_N-0.303pCAMKII_N-0.281S6_N-0.257pNR2A_N+0.248pGSK3B_Tyr216_N...
  0.74925	  0.00937	  0.87113	-0.41RRP1_N+0.36 Treatment=Saline-0.307pCFOS_N+0.255GluR4_N-0.243SHH_N...
  0.68985	  0.00862	  0.87975	0.307pCFOS_N-0.286nNOS_N+0.27 pCASP9_N-0.251GluR4_N+0.248SYP_N...
  0.59203	  0.0074 	  0.88715	-0.322nNOS_N+0.279GFAP_N+0.263ADARB1_N+0.223pRSK_N-0.218SYP_N...
  0.50453	  0.00631	  0.89346	-0.385GluR4_N-0.379H3AcK18_N-0.227SOD1_N+0.21 BCL2_N-0.207ADARB1_N...
  0.48933	  0.00612	  0.89957	0.322DSCR1_N+0.254H3MeK4_N+0.236Treatment=Saline+0.236pMTOR_N+0.225CDK5_N...
  0.4555 	  0.00569	  0.90527	-0.477RRP1_N+0.343SHH_N+0.295H3AcK18_N+0.279BAX_N+0.227BCL2_N...
  0.43245	  0.00541	  0.91067	-0.376CDK5_N+0.287pGSK3B_Tyr216_N+0.257pGSK3B_N+0.252DSCR1_N+0.219S6_N...
  0.42043	  0.00526	  0.91593	0.355RRP1_N-0.323pCFOS_N-0.288CDK5_N+0.226BAD_N+0.212pCASP9_N...
  0.40176	  0.00502	  0.92095	0.385GFAP_N-0.339RRP1_N+0.297P3525_N-0.209CDK5_N-0.204pCAMKII_N...
  0.37421	  0.00468	  0.92563	-0.372CDK5_N+0.362GluR4_N-0.29SOD1_N-0.277EGR1_N+0.254SYP_N...
  0.34962	  0.00437	  0.93   	-0.39BCL2_N-0.25Treatment=Saline+0.241EGR1_N-0.229P3525_N+0.214BAD_N...
  0.33566	  0.0042 	  0.9342 	0.344SYP_N+0.285GFAP_N+0.245SOD1_N+0.24 pMTOR_N-0.231pCASP9_N...
  0.31777	  0.00397	  0.93817	0.348SYP_N-0.336BCL2_N+0.272H3MeK4_N-0.256EGR1_N+0.229Treatment=Saline...
  0.30431	  0.0038 	  0.94197	-0.322CDK5_N+0.316CREB_N-0.238pELK_N+0.237nNOS_N+0.212pBRAF_N...
  0.26312	  0.00329	  0.94526	0.332BAX_N-0.293BAD_N-0.292ADARB1_N-0.269pCFOS_N+0.245P3525_N...
  0.25584	  0.0032 	  0.94846	-0.334pELK_N-0.282pP70S6_N+0.262GluR4_N-0.26GluR3_N-0.253BCL2_N...
  0.24416	  0.00305	  0.95151	-0.295SYP_N+0.266BAD_N-0.248nNOS_N-0.22EGR1_N+0.214pCREB_N...
